,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
341,SYR_1996,0.7142857,63.80677,92.60985,93.46856,55.9,20.10815,NA,74.108,NA,46.64604
342,THA_2000,0.6190476,73.0201,NA,95.656,83.29,45.85816,90.51602,74.513,NA,48.28739
343,THA_2004,9.1,60.32715,NA,95.78792,84.2,45.74322,NA,75.339,12.50662,48.38611
344,THA_2008,10.4347826,65.98496,97.16725,95.57354,84.47,45.96367,NA,76.788,13.574,48.35827
345,THA_2012,3.8181818,61.0153,NA,94.8437,84.66,46.23684,NA,78.226,13.78134,48.34392
346,THA_2016,15,76.19747,NA,94.82066,85.18,45.65622,NA,79.133,NA,NA
347,TJK_2012,0.2307692,61.37258,97.11647,96.108,65.08,39.33687,NA,73.357,10.42383,48.18592
348,TUN_2012,0.9545455,66.9439,NA,99.241,77.86,27.03357,72.16065,77.165,NA,48.20321
349,TUN_2016,0.9545455,57.58321,NA,99.23596,77.99,26.50368,NA,77.777,15.77741,48.21524
350,TUR_1992,0.1269841,53.15689,NA,93.9734,70.63,30.0893,NA,69.155,8.01362,47.08003
351,TUR_2000,0.4255319,63.70392,NA,95.09702,74.97,27.69872,NA,73.786,NA,46.96787
352,TUR_2004,2.8723404,58.94538,NA,95.74366,76.9,26.17188,79.58169,75.584,10.88635,47.75011
353,TUR_2008,3.78,62.16412,96.5757,96.29402,78.08,26.97407,NA,77.038,11.79448,48.39254
354,TUR_2012,14.1730769,66.45113,93.2566,96.8757,78.76,30.51395,91.60452,78.047,13.91045,48.6408
355,TUR_2016,0.8307692,72.01016,NA,97.3073,79.47,32.28135,NA,78.982,NA,NA
356,UKR_1994,6,60.60933,NA,94.79648,85.3,49.21036,NA,73.15,12.33973,48.85941
357,UKR_1996,24.4036697,75.93788,NA,95.36296,86.68,49.05857,NA,72.65,NA,NA
358,UKR_1998,2.8867925,70.93461,NA,95.93138,87.93,48.70834,NA,73.5,NA,48.60336
359,UKR_2000,21.8148148,61.54738,NA,96.50174,88.9,48.51559,NA,73.55,13.18919,48.62777
360,UKR_2004,49.0153846,65.76089,89.53957,97.02682,87.82,48.63584,NA,74.05,14.65584,48.59818
361,UKR_2006,1.5737705,65.46341,88.58783,96.98154,86.9,48.03986,NA,74.06,15.02522,48.64945
362,UKR_2008,44.3354037,65.25431,87.9705,97.00806,85.42,48.14206,NA,74.28,15.17455,48.78503
363,UKR_2012,35.5279503,70.48483,94.63726,97.2047,84.69,47.31405,99.9582,76.02,15.1195,48.93492
364,UKR_2014,26.1333333,66.3014,93.73723,97.36922,85.02,47.40053,NA,76.37,15.19439,49.01842
365,UKR_2016,15.984252,71.15576,NA,97.53374,85.34,47.44896,NA,76.46,NA,48.99609
366,USA_1992,189.9118136,74.31275,NA,94.0388,79.54,44.5722,NA,79.1,NA,NA
367,USA_1994,20.4459459,65.71406,96.42522,94.37008,79.985,45.15843,NA,79,16.43219,48.62754
368,USA_1996,422.1736402,65.77466,96.14632,94.70136,80.24,45.30018,NA,79.1,16.4132,48.52157
369,USA_1998,98.0886076,61.02955,NA,95.02958,80.01,45.48971,NA,79.5,16.70706,49.44092
370,USA_2000,349.6226415,73.93692,95.57584,95.35474,79.44,45.55854,NA,79.3,NA,48.39238
371,USA_2002,75.0842697,74.03968,94.48465,95.6799,79.795,45.66895,NA,79.6,NA,49.00957
372,USA_2004,431.6062176,73.79902,92.94247,95.82814,79.485,45.74738,NA,80.1,NA,48.69113
373,USA_2006,36.1604278,74.22878,95.38725,95.97638,78.92,45.76072,NA,80.3,NA,49.02832
374,USA_2008,512.5843829,74.61766,96.66678,96.28202,79.28,45.95628,NA,80.6,NA,48.92085
375,USA_2010,72.5,74.5732,94.18904,96.74506,80.69,46.16477,NA,81,NA,48.65033
376,USA_2012,626.5202312,74.53534,93.09638,97.2081,81.195,45.97083,NA,81.2,NA,48.54171
377,USA_2014,80.8899522,66.56219,93.72323,97.5733,81.375,45.95016,NA,81.3,17.17578,48.83788
378,USA_2016,576.6942857,76.7467,NA,97.9385,82,45.84829,NA,81.2,NA,NA
379,UZB_1994,6.6666667,63.87941,NA,94.6668,64.63,41.5755,NA,69.474,NA,49.05073
380,UZB_2008,0.4081633,62.36945,90.45223,98.2011,73.63,42.13607,NA,72.373,11.19294,48.60082
381,VEN_2004,0.5142857,70.1073,92.56194,90.87822,73.36,38.03659,NA,77.394,NA,48.41302
382,VEN_2008,0.8529412,62.48688,91.19884,91.05168,74.7,39.34342,NA,77.751,15.09871,48.26449
383,VEN_2016,1.5263158,74.48032,88.90051,91.41664,76.83,39.95722,97.21371,78.767,NA,48.27719
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
